Timestamp,Are you excited about our raffle and award prizes?,Secret Code,Comments
7/12/2021 22:57:59,Yes,TREE ,Have a great day!
7/12/2021 22:58:05,Yes,Tree,
7/12/2021 22:58:08,Yes,TREE,Great first day!
7/12/2021 22:58:14,Yes,TREE,
7/12/2021 22:58:16,Yes,TREE,
7/12/2021 22:58:17,Yes,TREE,
7/12/2021 22:58:21,Yes,TREE,This was pretty fun. 
7/12/2021 22:58:21,Yes,TREE,This is very interesting and fun! Thank you! 
7/12/2021 22:58:22,Yes,TREE,ok
7/12/2021 22:58:25,Yes,TREE,
7/12/2021 22:58:26,Yes,TREE,
7/12/2021 22:58:27,Yes,Tree,
7/12/2021 22:58:27,Yes,tree,
7/12/2021 22:58:27,Yes,TREE,I love the Data Science Academy so far!
7/12/2021 22:58:30,Yes,TREE,
7/12/2021 22:58:35,Yes,TREE,This class sounds pretty interesting. 
7/12/2021 22:58:40,Yes,Tree,
7/12/2021 22:58:45,meh,TREE,
7/12/2021 22:58:48,Yes,TREE,"Using code, even though we are just starting, is actually quite fun."
7/12/2021 22:58:53,Yes,TREE,idk what to put here
7/12/2021 22:58:56,Yes,TREE,I'm very excited for this course :D
7/12/2021 22:58:56,Yes,Tree,
7/12/2021 22:59:02,Yes,tree,I don't have any comments for now
7/12/2021 22:59:04,Yes,TREE,
7/12/2021 22:59:05,Yes,TREE,
7/12/2021 22:59:10,Yes,TREE,i like this class so far
7/12/2021 22:59:17,Yes,sw12321,
7/12/2021 22:59:24,Yes,tree,
7/12/2021 22:59:45,Yes,tree,
7/12/2021 22:59:45,Yes,tree,
7/12/2021 23:00:02,Yes,TREE,this is awesome 
7/12/2021 23:00:13,Yes,TREE,
7/12/2021 23:00:58,Yes,TREE,I hope I can learn code(I am BAD at it)
7/12/2021 23:01:12,Yes,,
7/12/2021 23:01:54,meh,TREE,
7/12/2021 23:02:01,Yes,TREE,Comments
7/12/2021 23:02:03,Yes,TREE,I'm very interested in going into a field in computational neuroscience so I'm excited to learn more about data science and programming.
7/12/2021 23:02:04,Yes,TREE,
7/12/2021 23:31:52,Yes,Tree,